,act,nalu,arch,lossf,lr,epoch,batch,h1,h2,seed,exp,op,init,loss,cost,fpref,fposop,flr,fmaxstep,fbatch,fcell,farch,fact,floss,fh1,fh2,fseed,fsr,fmean,fstd,fig,fim,fiw,fsg,fsm,fsw,flwt,fwcext,fname
923,none,NALUi,nalu,rsme,0.01,200,64,2,1,116,ext,DIV,1.0-1.0,7235.2456,"7235.2456
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,116,False,1.0,1.0,1.0,0.0,-1.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_116_False_1.0-1.0_1.0-0.0--1.0_0.5-0.5-0.5_False_True.ext.csv
924,none,NALUi,nalu,rsme,0.01,200,64,2,1,112,ext,ADD,1.0-1.0,1.9076585e-10,"1.9076585e-10
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,112,False,1.0,1.0,1.0,-1.0,1.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_112_False_1.0-1.0_1.0--1.0-1.0_0.5-0.5-0.5_False_True.ext.csv
925,none,NALUi,nalu,rsme,0.01,200,64,2,1,109,ext,DIV,1.0-1.0,10243.479,"10243.479
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,109,False,1.0,1.0,-1.0,0.0,0.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_109_False_1.0-1.0_-1.0-0.0-0.0_0.5-0.5-0.5_False_True.ext.csv
926,none,NALUi,nalu,rsme,0.01,200,64,2,1,113,int,DIV,1.0-1.0,4868.824,"4868.824
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,113,False,1.0,1.0,1.0,-1.0,1.0,0.1,0.1,0.1,False,True.int.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_113_False_1.0-1.0_1.0--1.0-1.0_0.1-0.1-0.1_False_True.int.csv
927,none,NALUi,nalu,rsme,0.01,200,64,2,1,103,ext,SUB,1.0-1.0,2.2885899e-10,"2.2885899e-10
",results/nalu,orgSUB,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,103,False,1.0,1.0,1.0,-1.0,1.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgSUB_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_103_False_1.0-1.0_1.0--1.0-1.0_0.5-0.5-0.5_False_True.ext.csv
928,none,NALUi,nalu,rsme,0.01,200,64,2,1,104,int,DIV,1.0-1.0,11085.073,"11085.073
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,104,False,1.0,1.0,1.0,-1.0,0.0,0.5,0.5,0.5,False,True.int.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_104_False_1.0-1.0_1.0--1.0-0.0_0.5-0.5-0.5_False_True.int.csv
929,none,NALUi,nalu,rsme,0.01,200,64,2,1,106,ext,ADD,1.0-1.0,1.772663e-08,"1.772663e-08
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,106,False,1.0,1.0,1.0,-1.0,-1.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_106_False_1.0-1.0_1.0--1.0--1.0_0.5-0.5-0.5_False_True.ext.csv
930,none,NALUi,nalu,rsme,0.01,200,64,2,1,119,ext,ADD,1.0-1.0,1.8812795e-08,"1.8812795e-08
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,119,False,1.0,1.0,0.0,0.0,1.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_119_False_1.0-1.0_0.0-0.0-1.0_0.1-0.1-0.1_False_True.ext.csv
931,none,NALUi,nalu,rsme,0.01,200,64,2,1,112,int,MUL,1.0-1.0,461.30988,"461.30988
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,112,False,1.0,1.0,0.0,1.0,-1.0,0.5,0.5,0.5,False,True.int.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_112_False_1.0-1.0_0.0-1.0--1.0_0.5-0.5-0.5_False_True.int.csv
932,none,NALUi,nalu,rsme,0.01,200,64,2,1,103,ext,ADD,1.0-1.0,0.083087906,"0.083087906
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,103,False,1.0,1.0,1.0,0.0,0.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_103_False_1.0-1.0_1.0-0.0-0.0_0.1-0.1-0.1_False_True.ext.csv
933,none,NALUi,nalu,rsme,0.01,200,64,2,1,110,ext,DIV,1.0-1.0,491562.16,"491562.16
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,110,False,1.0,1.0,0.0,-1.0,-1.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_110_False_1.0-1.0_0.0--1.0--1.0_0.5-0.5-0.5_False_True.ext.csv
934,none,NALUi,nalu,rsme,0.01,200,64,2,1,119,int,MUL,1.0-1.0,8.431187e-09,"8.431187e-09
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,119,False,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,False,True.int.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_119_False_1.0-1.0_0.0-0.0-0.0_0.5-0.5-0.5_False_True.int.csv
935,none,NALUi,nalu,rsme,0.01,200,64,2,1,101,ext,MUL,1.0-1.0,8780896.0,"8780896.0
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,101,False,1.0,1.0,1.0,-1.0,0.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_101_False_1.0-1.0_1.0--1.0-0.0_0.5-0.5-0.5_False_True.ext.csv
