       fig   fim   fiw  fsg  fsm  fsg   op          loss
1352   1.0   0.0   1.0  0.1  0.1  0.1  ADD  9.396470e-08
2599   0.0   0.0   1.0  0.1  0.1  0.1  ADD  9.399561e-08
1734   1.0   0.0   1.0  0.1  0.1  0.1  ADD  9.424562e-08
2237  -1.0  -1.0   1.0  0.1  0.1  0.1  ADD  9.489783e-08
1226   0.0   0.0   1.0  0.1  0.1  0.1  ADD  9.492644e-08
1385   1.0   0.0   1.0  0.1  0.1  0.1  ADD  9.492967e-08
1786   1.0   0.0   1.0  0.1  0.1  0.1  ADD  9.496052e-08
2900   0.0   0.0   1.0  0.1  0.1  0.1  ADD  9.618614e-08
2142  -1.0   0.0   1.0  0.5  0.5  0.5  ADD  9.630099e-08
1685   0.0   0.0   1.0  0.5  0.5  0.5  ADD  9.633798e-08
3501   1.0   0.0   1.0  0.1  0.1  0.1  ADD  9.672418e-08
137    1.0   0.0   1.0  0.1  0.1  0.1  ADD  9.689328e-08
1137   1.0   0.0   1.0  0.1  0.1  0.1  ADD  9.739501e-08
1771   1.0   0.0   1.0  0.1  0.1  0.1  ADD  9.794825e-08
4081   0.0   0.0   1.0  0.1  0.1  0.1  ADD  1.036917e-07
3384   1.0   0.0   1.0  0.1  0.1  0.1  ADD  1.060671e-07
2363   1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.071524e-07
1015  -1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.145009e-07
197    0.0   0.0   0.0  0.1  0.1  0.1  ADD  1.160261e-07
340    1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.176617e-07
1737  -1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.190519e-07
2996  -1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.206618e-07
315    0.0   0.0   0.0  0.1  0.1  0.1  ADD  1.209924e-07
85     0.0   0.0   0.0  0.1  0.1  0.1  ADD  1.213499e-07
1600  -1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.242750e-07
3060   0.0   0.0   0.0  0.1  0.1  0.1  ADD  1.245129e-07
1866   0.0   0.0   0.0  0.1  0.1  0.1  ADD  1.262233e-07
4273   0.0   0.0   0.0  0.1  0.1  0.1  ADD  1.264696e-07
2196   0.0   0.0   0.0  0.1  0.1  0.1  ADD  1.265834e-07
2570   0.0   0.0   0.0  0.1  0.1  0.1  ADD  1.275906e-07
2668   0.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.276748e-07
2892  -1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.283282e-07
581   -1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.289188e-07
3392  -1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.297156e-07
4146  -1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.315606e-07
